ALL VIDEO CARDS,JUN,JUL,AUG,SEP,OCT,Percent Change
AMD Radeon Graphics,1.60%,1.32%,1.68%,1.74%,1.63%,-0.11%
AMD Radeon R5 Graphics,0.21%,0.16%,0.20%,0.17%,0.16%,-0.01%
AMD Radeon R7 Graphics,0.24%,0.21%,0.24%,0.21%,0.20%,-0.01%
AMD Radeon RX 480,0.22%,0.24%,0.22%,0.19%,0.17%,-0.02%
AMD Radeon RX 550,0.50%,0.52%,0.49%,0.45%,0.42%,-0.03%
AMD Radeon RX 5500 XT,0.26%,0.30%,0.25%,0.23%,0.21%,-0.02%
AMD Radeon RX 560,0.29%,0.32%,0.27%,0.26%,0.23%,-0.03%
AMD Radeon RX 5600 XT,0.23%,0.27%,0.22%,0.21%,0.20%,-0.01%
AMD Radeon RX 570,1.07%,1.20%,1.04%,0.95%,0.88%,-0.07%
AMD Radeon RX 5700 XT,0.67%,0.77%,0.66%,0.62%,0.58%,-0.04%
AMD Radeon RX 580,1.33%,1.47%,1.28%,1.19%,1.08%,-0.11%
AMD Radeon RX 590 Series,0.21%,0.26%,0.20%,0.19%,0.17%,-0.02%
AMD Radeon RX 6600,0.20%,0.24%,0.27%,0.29%,0.28%,-0.01%
AMD Radeon RX 6600 XT,0.33%,0.37%,0.36%,0.37%,0.33%,-0.04%
AMD Radeon RX 6700 XT,0.27%,0.33%,0.31%,0.32%,0.32%,0.00%
AMD Radeon RX 6800 XT,-,0.19%,0.16%,0.16%,0.16%,0.00%
AMD Radeon RX 6900 XT,0.16%,0.20%,0.18%,0.18%,0.18%,0.00%
AMD Radeon RX Vega 11 Graphics,0.37%,0.38%,0.34%,0.30%,0.28%,-0.02%
AMD Radeon Vega 3 Graphics,0.52%,0.40%,0.54%,0.48%,0.47%,-0.01%
AMD Radeon Vega 8 Graphics,1.03%,0.92%,1.01%,0.92%,0.86%,-0.06%
Intel Haswell,0.36%,0.26%,0.34%,0.29%,0.26%,-0.03%
Intel HD Graphics 3000,0.25%,0.18%,0.24%,0.21%,0.20%,-0.01%
Intel HD Graphics 4000,0.40%,0.31%,0.39%,0.33%,0.31%,-0.02%
Intel HD Graphics 4600,0.36%,0.28%,0.34%,0.31%,0.28%,-0.03%
Intel HD Graphics 520,0.37%,0.26%,0.35%,0.32%,0.31%,-0.01%
Intel HD Graphics 5500,0.24%,0.18%,0.23%,0.21%,0.19%,-0.02%
Intel HD Graphics 620,0.44%,0.31%,0.41%,0.36%,0.34%,-0.02%
Intel Ivy Bridge,0.33%,0.24%,0.31%,0.27%,0.25%,-0.02%
Intel UHD Graphics 620,0.69%,0.44%,0.64%,0.58%,0.54%,-0.04%
Intel UHD Graphics 630,0.34%,0.26%,0.33%,0.29%,0.26%,-0.03%
Intel(R) Iris(R) Xe Graphics,1.06%,0.76%,1.21%,1.35%,1.30%,-0.05%
Intel(R) UHD Graphics,1.31%,0.87%,1.38%,1.32%,1.31%,-0.01%
Intel(R) UHD Graphics 630,0.26%,0.20%,0.26%,0.24%,0.21%,-0.03%
NVIDIA GeForce 940M,0.37%,0.34%,0.34%,0.31%,0.29%,-0.02%
NVIDIA GeForce GT 1030,0.84%,0.86%,0.83%,0.76%,0.67%,-0.09%
NVIDIA GeForce GT 710,0.37%,0.33%,0.34%,0.31%,0.28%,-0.03%
NVIDIA GeForce GT 720M,0.23%,0.20%,0.21%,0.18%,0.17%,-0.01%
NVIDIA GeForce GT 730,0.54%,0.51%,0.50%,0.48%,0.42%,-0.06%
NVIDIA GeForce GTX 1050,2.81%,2.83%,2.57%,2.45%,2.18%,-0.27%
NVIDIA GeForce GTX 1050 Ti,5.36%,5.67%,4.99%,4.91%,4.39%,-0.52%
NVIDIA GeForce GTX 1060,7.02%,7.12%,6.60%,6.94%,7.62%,0.68%
NVIDIA GeForce GTX 1070,2.13%,2.41%,2.03%,1.97%,1.88%,-0.09%
NVIDIA GeForce GTX 1070 Ti,0.64%,0.71%,0.61%,0.59%,0.60%,0.01%
NVIDIA GeForce GTX 1080,1.29%,1.46%,1.28%,1.19%,1.18%,-0.01%
NVIDIA GeForce GTX 1080 Ti,0.78%,0.92%,0.75%,0.73%,0.69%,-0.04%
NVIDIA GeForce GTX 1650,6.51%,6.35%,6.24%,6.32%,5.61%,-0.71%
NVIDIA GeForce GTX 1650 SUPER,0.94%,0.98%,0.91%,0.94%,0.79%,-0.15%
NVIDIA GeForce GTX 1650 Ti,1.36%,1.30%,1.26%,1.26%,1.09%,-0.17%
NVIDIA GeForce GTX 1660,1.84%,1.78%,1.74%,1.95%,2.74%,0.79%
NVIDIA GeForce GTX 1660 SUPER,2.42%,2.47%,2.46%,2.52%,2.34%,-0.18%
NVIDIA GeForce GTX 1660 Ti,2.66%,2.79%,2.55%,2.57%,2.28%,-0.29%
NVIDIA GeForce GTX 650,0.23%,0.24%,0.22%,0.21%,0.18%,-0.03%
NVIDIA GeForce GTX 660,0.20%,0.19%,0.19%,0.17%,0.15%,-0.02%
NVIDIA GeForce GTX 750,0.26%,0.26%,0.24%,0.23%,0.20%,-0.03%
NVIDIA GeForce GTX 750 Ti,0.92%,0.92%,0.82%,0.81%,0.76%,-0.05%
NVIDIA GeForce GTX 950,0.31%,0.32%,0.28%,0.28%,0.29%,0.01%
NVIDIA GeForce GTX 950M,0.24%,0.24%,0.22%,0.20%,0.18%,-0.02%
NVIDIA GeForce GTX 960,0.96%,0.97%,0.88%,0.85%,0.89%,0.04%
NVIDIA GeForce GTX 960M,0.39%,0.35%,0.34%,0.33%,0.29%,-0.04%
NVIDIA GeForce GTX 970,0.95%,1.07%,0.90%,0.82%,0.75%,-0.07%
NVIDIA GeForce GTX 980,0.19%,0.21%,0.18%,0.17%,0.15%,-0.02%
NVIDIA GeForce MX110,0.23%,0.19%,0.21%,0.19%,0.18%,-0.01%
NVIDIA GeForce MX130,0.20%,0.18%,0.19%,0.18%,0.16%,-0.02%
NVIDIA GeForce MX150,0.32%,0.28%,0.28%,0.27%,0.23%,-0.04%
NVIDIA GeForce MX250,0.36%,0.29%,0.30%,0.29%,0.25%,-0.04%
NVIDIA GeForce MX330,0.19%,0.15%,0.19%,0.18%,0.16%,-0.02%
NVIDIA GeForce MX350,0.24%,0.21%,0.22%,0.23%,0.19%,-0.04%
NVIDIA GeForce MX450,0.25%,0.22%,0.23%,0.25%,0.22%,-0.03%
NVIDIA GeForce RTX 2060,5.03%,5.10%,5.02%,5.19%,6.10%,0.91%
NVIDIA GeForce RTX 2060 SUPER,1.10%,1.18%,1.11%,1.13%,1.23%,0.10%
NVIDIA GeForce RTX 2070,1.32%,1.42%,1.30%,1.27%,1.50%,0.23%
NVIDIA GeForce RTX 2070 SUPER,1.75%,1.99%,1.78%,1.68%,1.73%,0.05%
NVIDIA GeForce RTX 2070 with Max-Q Design,0.25%,0.26%,0.24%,0.23%,0.20%,-0.03%
NVIDIA GeForce RTX 2080,0.61%,0.68%,0.58%,0.57%,0.59%,0.02%
NVIDIA GeForce RTX 2080 SUPER,0.66%,0.70%,0.66%,0.63%,0.70%,0.07%
NVIDIA GeForce RTX 2080 Ti,0.52%,0.60%,0.52%,0.47%,0.45%,-0.02%
NVIDIA GeForce RTX 3050,1.34%,1.38%,1.62%,1.94%,1.83%,-0.11%
NVIDIA GeForce RTX 3050 Laptop GPU,0.58%,0.57%,0.63%,0.79%,0.67%,-0.12%
NVIDIA GeForce RTX 3050 Ti,0.31%,0.34%,0.32%,0.37%,0.30%,-0.07%
NVIDIA GeForce RTX 3050 Ti Laptop GPU,0.73%,0.73%,0.88%,0.97%,0.91%,-0.06%
NVIDIA GeForce RTX 3060,2.62%,2.58%,3.24%,3.52%,5.47%,1.95%
NVIDIA GeForce RTX 3060 Laptop GPU,2.99%,3.34%,3.39%,4.00%,3.39%,-0.61%
NVIDIA GeForce RTX 3060 Ti,1.72%,1.90%,2.00%,2.10%,2.53%,0.43%
NVIDIA GeForce RTX 3070,2.02%,2.29%,2.32%,2.33%,2.76%,0.43%
NVIDIA GeForce RTX 3070 Laptop GPU,0.76%,0.85%,0.80%,0.85%,0.74%,-0.11%
NVIDIA GeForce RTX 3070 Ti,0.91%,1.06%,1.08%,1.10%,1.28%,0.18%
NVIDIA GeForce RTX 3070 Ti Laptop GPU,-,-,0.19%,0.25%,0.22%,-0.03%
NVIDIA GeForce RTX 3080,1.44%,1.68%,1.70%,1.69%,1.82%,0.13%
NVIDIA GeForce RTX 3080 Laptop GPU,0.18%,0.18%,0.19%,0.19%,0.17%,-0.02%
NVIDIA GeForce RTX 3080 Ti,0.63%,0.77%,0.74%,0.74%,0.72%,-0.02%
NVIDIA GeForce RTX 3090,0.46%,0.53%,0.50%,0.49%,0.48%,-0.01%
Other,10.02%,8.35%,9.38%,9.13%,9.21%,0.08%
